Region,Address,UnitNo,PostalCode,Lat,Long,,,
Central,"HDB PASIR RIS BRANCH OFFICE443 PASIR RIS DRIVE 6",#B1,238873,1.302806,103.8357916,,,
Central,"IECON ACTUA TRADING AND SUPPLIES915 TAMPINES STREET 91",,179100,1.293171,103.852376,,,
Central,"IECON ANCHORVALE MINIMART303 ANCHORVALE LINK",#B2,208539,1.3113982,103.8565897,,,
Central,"IECON BEGONIA SUPERMARKET280 TAMPINES STREET 22",#B2,208539,1.3113982,103.8565897,,,
Central,"IECON CHIN HUAT SIONG KEE124 HOUGANG AVENUE 1",,217664,1.315722,103.856214,,,
Central,"IECON CHNG WAH SENG2 LORONG LEW LIAN",,179019,1.2901676,103.8448626,,,
Central,"IECON CHNG WAH SENG309 HOUGANG AVENUE 5",,579701,1.342819,103.859222,,,
Central,"IECON CHY YUAN MINI SUPERMARKET911 HOUGANG STREET 91",#01-01,579838,1.349575,103.849068,,,
Central,"IECON GOOD WELL SUPERMARKET343 TAMPINES STREET 33",,068897,1.2772297,103.847986,,,
Central,"IECON GUAT SENG HUAT511 HOUGANG AVENUE 10",,068897,1.335755,103.8554939,,,
Central,"IECON LIN DA MINI440 HOUGANG AVENUE 8",,068897,1.335755,103.8554939,,,
Central,"IECON OM SAI MINIMART878 TAMPINES AVENUE 8",,160133,1.279541,103.827307,,,
Central,"IECON RAMYAA369 TAMPINES STREET 34",,188867,1.300599,3.854893,,,
Central,"KIM SAN LENG (UBI)302 UBI AVENUE 1",#02-50,310520,1.3331682,103.8473278,,,
Central,"KNK GLOBAL PTE LTD462 TAMPINES STREET 44",,018982,1.2804899,103.853496,,,
Central,"POSB 301 KAMPONG UBI301 UBI AVENUE 1",#B1-45,018982,1.2804899,103.853496,,,
Central,"POSB 811 TAMPINES811 TAMPINES AVENUE 4",,573970,1.358586,103.83358,,,
Central,"POSB AUTO LOBBY RIVERVALE PLAZA118 RIVERVALE DRIVE",#01-21,179098,1.292307,103.850442,,,
Central,"POSB BLOCK 211 TAMPINES211 TAMPINES AVENUE 2",#03-18/19,556679,1.3652169,103.865262,,,
Central,"POSB BLOCK 775 BEDOK RESERVOIR VIEW775 BEDOK RESERVOIR VIEW",,188504,1.302731,103.853171,,,
Central,"POSB COMPASS POINT EBC1 SENGKANG SQUARE",,239278,1.3055779,103.830139,,,
Central,"POSB SERANGOON COMMUNITY CENTRENO 10 SERANGOON NORTH AVENUE 2",,238826,1.298811,103.846127,,,
Central,"PUNGGOL FIELD NEIGHBOURHOOD CENTRE - STATION 1110A PUNGGOL FIELD",,059395,1.288376,103.847177,,,
Central,"PUNGGOL FIELD NEIGHBOURHOOD CENTRE - STATION 2110 A PUNGGOL FIELD",,228231,1.310572,103.836269,,,
Central,"SCDF HQ91 UBI AVENUE 4",,038981,1.289857,103.8552799,,,
Central,"SENGKANG HDB BRANCH OFFICE118 RIVERVALE DRIVE",,569927,1.370763,103.864159,,,
Central,"STANDARD CHARTERED TAMPINES3 TAMPINES CENTRAL 1 ABACUS PLAZA",,289630,1.330924,103.798641,,,
Central,"TAMPINES MALL - STATION 24 TAMPINES CENTRAL 5",,159458,1.2827353,103.8214415,,,
Central,"UBI TECH PARK10 UBI CRESENT",,248992,1.2928172,103.8256861,,,
Central,"XI QI SUPERMARKET496G TAMPINES AVENUE 9",,574416,1.3703594,103.8283798,,,
Central,"25 GHIM MOH LINK25 GHIM MOH LINK",,309425,1.3162027,103.8367068,,,
Central,"CENTRE FOR ANIMAL WELFARE AND CONTROL75 PASIR PANJANG ROAD",,319640,1.3362792,103.8462659,,,
Central,"COCHRANE LODGE II49 ADMIRALTY ROAD WEST",,588183,1.345236,103.773148,,,
Central,"CPF WOODLANDS BRANCH - STATION 1900 SOUTH WOODLANDS DRIVE",,574400,1.373071,103.828947,,,
Central,"CPF WOODLANDS BRANCH - STATION 2900 SOUTH WOODLANDS DRIVE",,229841,1.311009,103.842951,,,
Central,"IECON ANN TENG HENG761 YISHUN STREET 72",,589471,1.336112,103.784068,,,
Central,"IECON ASERET TRADING173 YISHUN AVENUE 7",,545614,1.36089,103.873692,,,
Central,"IECON HOCK TAI CHEONG664 YISHUN AVENUE 4",,228213,1.307249,103.833358,,,
Central,"IECON KIM ENG MINI SUPERMARKET103 YISHUN RING ROAD",,238884,1.3062153,103.8286,,,
Central,"IECON PIAK LAN HIONG605 YISHUN STREET 61",,079907,1.2732079,103.843634,,,
Central,"IECON UNITED SUPERMARKET136 MARSILING ROAD",,179097,1.29133,103.850074,,,
Central,"KHOO TECK PUAT HOSPITAL90 YISHUN CENTRAL",,179097,1.29133,103.850074,,,
Central,"STANDARD CHARTERED WOODLANDS900 SOUTH WOODLANDS DRIVE CIVIC CENTRE",,189720,1.2987612,103.8587,,,
Central,"TEO CHUAN KEE MINIMART468B ADMIRALTY DRIVE",#01-73/77,560181,1.3768395,103.8371598,,,
Central,"WOODLANDS CIVIC CENTRE 900 SOUTH WOODLANDS DRIVE",,161026,1.282517,103.825796,,,
Central,"WOODLANDS HDB BRANCH OFFICE - STATION 1900 SOUTH WOODLANDS DRIVE, CIVIC CENTRE",,258499,1.301177,103.8388679,,,
Central,"WOODLANDS HDB BRANCH OFFICE - STATION 2900 SOUTH WOODLANDS DRIVE, CIVIC CENTRE",,048940,1.2839928,103.850257,,,
Central,112 KATONG 112 EAST COAST ROAD,,189685,1.296389,103.856182,,,
Central,"BEDOK PUBLIC LIBRARY21 BEDOK NORTH STREET 1",#03-29,237994,1.2936891,103.8319512,,,
Central,"CBP THE SIGNATURE51 CHANGI BUSINESS PARK CENTRAL 2",#03-01,039801,1.290272,103.859058,,,
Central,"CHEERS BEDOK NORTH539 BEDOK NORTH STREET 3",#07-00,238839,1.3006139,103.8451045,,,
Central,"CISCO CENTRE20 JALAN AFIFI",#04-03,168732,1.286145,103.827342,,,
